序号,交易所,发行人全称,审核状态,注册地,行业,保荐机构,会计师事务所,律师事务所,更新日期,受理日期
649,深圳证券交易所,江苏博俊工业科技股份有限公司,注册生效,江苏,汽车制造业,东方证券承销保荐有限公司,容诚会计师事务所（特殊普通合伙）,上海市通力律师事务所,2020/12/9,2020/6/30
650,上海证券交易所,江苏吉贝尔药业股份有限公司,注册生效,江苏,医药制造业,国金证券股份有限公司,信永中和会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/4/7,2019/6/25
651,上海证券交易所,江苏固德威电源科技股份有限公司,注册生效,江苏,电气机械和器材制造业,东兴证券股份有限公司,天衡会计师事务所（特殊普通合伙）,安徽承义律师事务所,2020/8/5,2019/12/26
652,上海证券交易所,江苏国光信息产业股份有限公司,已受理,江苏,计算机、通信和其他电子设备制造业,东海证券股份有限公司,大华会计师事务所（特殊普通合伙）,北京国枫律师事务所,2020/12/31,2020/12/31
653,上海证券交易所,江苏天奈科技股份有限公司,注册生效,江苏,化学原料和化学制品制造业,民生证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2019/8/30,2019/3/22
654,深圳证券交易所,江苏安凯特科技股份有限公司,上市委会议通过,江苏,专用设备制造业,国金证券股份有限公司,天衡会计师事务所（特殊普通合伙）,北京市金杜律师事务所,2020/12/3,2020/6/30
655,上海证券交易所,江苏宏微科技股份有限公司,已问询,江苏,计算机、通信和其他电子设备制造业,民生证券股份有限公司,天衡会计师事务所（特殊普通合伙）,北京市环球律师事务所,2021/1/20,2020/12/22
656,深圳证券交易所,江苏宏德特种部件股份有限公司,已问询,江苏,金属制品业,民生证券股份有限公司,和信会计师事务所（特殊普通合伙）,北京市华联律师事务所,2021/1/18,2020/12/18
657,上海证券交易所,江苏容汇通用锂业股份有限公司,已受理,江苏,计算机、通信和其他电子设备制造业,东吴证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京市大成律师事务所,2020/12/23,2020/12/23
658,上海证券交易所,江苏富淼科技股份有限公司,注册生效,江苏,化学原料和化学制品制造业,华泰联合证券有限责任公司,中汇会计师事务所（特殊普通合伙）,北京市中伦文德律师事务所,2020/12/23,2020/5/14
659,上海证券交易所,江苏康众数字医疗科技股份有限公司,注册生效,江苏,专用设备制造业,中信证券股份有限公司,立信会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/29,2020/5/13
660,上海证券交易所,江苏微导纳米科技股份有限公司,终止,江苏,专用设备制造业,中信证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,北京德恒律师事务所,2020/12/15,2020/6/22
661,深圳证券交易所,江苏恒兴新材料科技股份有限公司,已问询,江苏,化学原料和化学制品制造业,东吴证券股份有限公司,容诚会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2021/1/19,2020/12/21
662,深圳证券交易所,江苏恒辉安防股份有限公司,提交注册,江苏,纺织业,华泰联合证券有限责任公司,立信会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/17,2020/7/1
663,深圳证券交易所,江苏扬瑞新型材料股份有限公司,已问询,江苏,化学原料和化学制品制造业,东兴证券股份有限公司,立信会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/12/30,2020/7/15
664,深圳证券交易所,江苏扬电科技股份有限公司,上市委会议通过,江苏,电气机械和器材制造业,海通证券股份有限公司,天健会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/3,2020/7/14
665,深圳证券交易所,江苏新瀚新材料股份有限公司,上市委会议通过,江苏,化学原料和化学制品制造业,中泰证券股份有限公司,天健会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2021/1/8,2020/7/9
666,深圳证券交易所,江苏新视云科技股份有限公司,已受理,江苏,软件和信息技术服务业,华泰联合证券有限责任公司,中天运会计师事务所（特殊普通合伙）,江苏世纪同仁律师事务所,2020/12/23,2020/7/1
667,深圳证券交易所,江苏晶雪节能科技股份有限公司,上市委会议通过,江苏,非金属矿物制品业,民生证券股份有限公司,天衡会计师事务所（特殊普通合伙）,国浩律师（南京）事务所,2020/12/29,2020/7/1
668,深圳证券交易所,江苏本川智能电路科技股份有限公司,上市委会议通过,江苏,计算机、通信和其他电子设备制造业,中信证券股份有限公司,致同会计师事务所（特殊普通合伙）,国浩律师（深圳）事务所,2021/1/13,2020/6/30
669,上海证券交易所,江苏柯菲平医药股份有限公司,终止,江苏,医药制造业,国金证券股份有限公司,天职国际会计师事务所（特殊普通合伙）,江苏世纪同仁律师事务所,2020/11/10,2020/6/1
670,上海证券交易所,江苏正济药业股份有限公司,终止,江苏,医药制造业,招商证券股份有限公司,大华会计师事务所（特殊普通合伙）,国浩律师（苏州）事务所,2020/12/25,2020/12/3
671,深圳证券交易所,江苏沃得农业机械股份有限公司,已受理,江苏,专用设备制造业,海通证券股份有限公司,中天运会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2020/12/23,2020/12/23
672,上海证券交易所,江苏泛亚微透科技股份有限公司,注册生效,江苏,橡胶和塑料制品业,东方证券承销保荐有限公司,天健会计师事务所（特殊普通合伙）,广东信达律师事务所,2020/9/1,2020/4/3
673,深圳证券交易所,江苏泽宇智能电力股份有限公司,已问询,江苏,软件和信息技术服务业,华泰联合证券有限责任公司,中汇会计师事务所（特殊普通合伙）,上海市锦天城律师事务所,2020/12/30,2020/10/16
674,上海证券交易所,江苏浩欧博生物医药股份有限公司,终止,江苏,医药制造业,华泰联合证券有限责任公司,立信会计师事务所（特殊普通合伙）,国浩律师（上海）事务所,2019/12/4,2019/4/19
675,深圳证券交易所,江苏海力风电设备科技股份有限公司,已问询,江苏,电气机械和器材制造业,华泰联合证券有限责任公司,立信会计师事务所（特殊普通合伙）,北京市中伦律师事务所,2020/12/24,2020/11/27
